SequenceName	mcg	gvh	lip	chg	aac	alm1	alm2	Class
G3P2_ECOLI  0.33  0.45  0.48  0.50  0.52  0.32  0.41   cp
G6PI_ECOLI  0.30  0.37  0.48  0.50  0.59  0.41  0.49   cp
ILVY_ECOLI  0.23  0.58  0.48  0.50  0.37  0.53  0.59   cp
IPYR_ECOLI  0.47  0.47  0.48  0.50  0.22  0.16  0.26   cp
KAD_ECOLI   0.54  0.47  0.48  0.50  0.28  0.33  0.42   cp
LYSR_ECOLI  0.44  0.56  0.48  0.50  0.50  0.46  0.54   cp
MALQ_ECOLI  0.52  0.36  0.48  0.50  0.41  0.28  0.38   cp
MALZ_ECOLI  0.36  0.41  0.48  0.50  0.48  0.47  0.54   cp
SYV_ECOLI   0.00  0.38  0.48  0.50  0.42  0.48  0.55   cp
SYW_ECOLI   0.39  0.31  0.48  0.50  0.38  0.34  0.43   cp
SYY_ECOLI   0.30  0.44  0.48  0.50  0.49  0.22  0.33   cp
THGA_ECOLI  0.27  0.30  0.48  0.50  0.71  0.28  0.39   cp
THIK_ECOLI  0.17  0.52  0.48  0.50  0.49  0.37  0.46   cp
TYRB_ECOLI  0.36  0.42  0.48  0.50  0.53  0.32  0.41   cp
UBIC_ECOLI  0.30  0.37  0.48  0.50  0.43  0.18  0.30   cp
UGPQ_ECOLI  0.26  0.40  0.48  0.50  0.36  0.26  0.37   cp
UVRB_ECOLI  0.22  0.34  0.48  0.50  0.42  0.29  0.39   cp
UVRC_ECOLI  0.44  0.35  0.48  0.50  0.44  0.52  0.59   cp
XGPT_ECOLI  0.27  0.42  0.48  0.50  0.37  0.38  0.43   cp
XYLA_ECOLI  0.16  0.43  0.48  0.50  0.54  0.27  0.37   cp
EMRA_ECOLI  0.06  0.61  0.48  0.50  0.49  0.92  0.37   im
AAS_ECOLI   0.44  0.52  0.48  0.50  0.43  0.47  0.54   im
AMPE_ECOLI  0.63  0.47  0.48  0.50  0.51  0.82  0.84   im
ARAE_ECOLI  0.23  0.48  0.48  0.50  0.59  0.88  0.89   im
ARAH_ECOLI  0.34  0.49  0.48  0.50  0.58  0.85  0.80   im
AROP_ECOLI  0.43  0.40  0.48  0.50  0.58  0.75  0.78   im
ENVZ_ECOLI  0.72  0.46  0.48  0.50  0.51  0.66  0.70   im
EXBB_ECOLI  0.47  0.55  0.48  0.50  0.58  0.71  0.75   im
FRDC_ECOLI  0.33  0.56  0.48  0.50  0.33  0.78  0.80   im
FRDD_ECOLI  0.64  0.58  0.48  0.50  0.48  0.78  0.73   im
GALP_ECOLI  0.63  0.50  0.48  0.50  0.59  0.85  0.86   im
GLNP_ECOLI  0.49  0.42  0.48  0.50  0.53  0.79  0.81   im
GLPT_ECOLI  0.31  0.50  0.48  0.50  0.57  0.84  0.85   im
GLTP_ECOLI  0.74  0.44  0.48  0.50  0.55  0.88  0.89   im
KDGL_ECOLI  0.33  0.45  0.48  0.50  0.45  0.88  0.89   im
KGTP_ECOLI  0.45  0.40  0.48  0.50  0.61  0.74  0.77   im
LACY_ECOLI  0.71  0.40  0.48  0.50  0.71  0.70  0.74   im
LGT_ECOLI   0.50  0.37  0.48  0.50  0.66  0.64  0.69   im
